,Window,History,SVD rank,MSE,IIEE,MAE
160,10,2,10,0.020709170855056077,6755875.244140625,0.06410764004132162
161,10,2,11,0.035195446584144974,8607288.208007812,0.08959345113623039
162,10,2,12,0.03742885842677869,3843256.8359375,0.06073100239392548
163,10,2,13,0.021070231492893766,6269642.333984375,0.06262339947319581
164,10,2,14,0.027330554220341686,3889815.9790039062,0.05652787082399546
165,10,2,15,0.06739009501758346,5513538.2080078125,0.09582450216042517
166,10,2,16,0.0717248183705965,7044062.5,0.08926002533864962
167,10,2,17,0.0399512480062236,6122888.7939453125,0.07478472136645026
168,10,2,18,0.0651027596548703,7450003.662109375,0.09054422647048267
169,10,2,19,0.019938099781607686,5737847.2900390625,0.05763063237522419
170,10,2,20,0.09041778008187012,9710830.078125,0.1288909111707312
171,10,5,2,0.0523715363672676,10175465.087890625,0.10727954346085386
172,10,5,3,0.04129684423776743,9731184.08203125,0.09867087149576821
173,10,5,4,0.012746117763672628,3362736.2060546875,0.04284057129379198
174,10,5,5,0.009912632779602535,2004781.1889648438,0.03279516601765119
175,10,5,6,0.012339209881213,3952569.580078125,0.04291126813095576
176,10,5,7,0.015332563566215455,4981024.169921875,0.05016102786619549
177,10,5,8,0.019203100816890067,7681468.505859375,0.06156456259263779
178,10,5,9,0.01646770375471828,2922572.9370117188,0.04877861867635827
179,10,5,10,0.0145243856924653,2872066.0400390625,0.04398345845249571
180,10,5,11,0.01584896526219823,3609552.001953125,0.04777069241759254
181,10,5,12,0.01776636778542121,3334864.501953125,0.04866957621724048
182,10,5,13,0.014117700922398566,3647128.6010742188,0.04439873387761189
183,10,5,14,0.029480369916265185,9025680.541992188,0.08004271711757277
184,10,5,15,0.011013641908633685,2573555.6030273438,0.039508256441554576
185,10,5,16,0.013050518218598203,5634597.16796875,0.04875580655791075
186,10,5,17,0.06251100713556611,8926906.127929688,0.10774524279659169
187,10,5,18,0.030535567852359127,8664406.127929688,0.08067096445651573
188,10,5,19,0.013469010564591207,2635499.8779296875,0.042388864670005126
189,10,5,20,0.01662782480248372,4569062.5,0.0545037965308159
190,10,7,2,0.04314660388148549,9747871.704101562,0.09918040933060056
191,10,7,3,0.013458315005476689,3015100.7080078125,0.043898446567420674
192,10,7,4,0.042371197852934125,6775135.498046875,0.09200227626761828
193,10,7,5,0.014536366511590335,3229413.1469726562,0.04564665994805613
194,10,7,6,0.0186472124393586,3274284.66796875,0.05005790659876674
195,10,7,7,0.019168866938308268,6102183.837890625,0.055620478686501745
196,10,7,8,0.055580976179918806,9611291.50390625,0.10463077817522254
197,10,7,9,0.016723363583952103,3605531.3110351562,0.05078960755955458
198,10,7,10,0.01409365974040249,2688027.6489257812,0.04347397610466185
199,10,7,11,0.015267483801208744,3178986.2060546875,0.046729137666292726
200,10,7,12,0.016335863664587454,5228222.0458984375,0.04971327799541362
201,10,7,13,0.04537455066106075,8445798.33984375,0.09330699975876758
202,10,7,14,0.017166248871291208,3094440.91796875,0.047661422162255544
203,10,7,15,0.01690622763736043,5265770.8740234375,0.05244838381198521
204,10,7,16,0.011133857685681465,2609423.5229492188,0.03702894363346446
205,10,7,17,0.021794673151121987,8538965.454101562,0.06684581907434077
206,10,7,18,0.020167261766709656,4852507.019042969,0.0592449551982956
207,10,7,19,0.01674562512346699,3397475.5859375,0.04755260723163422
208,10,7,20,0.018365328727275927,5644496.4599609375,0.05595323076274303
209,10,10,2,0.03941131743086401,9569312.744140625,0.09649481930026788
210,10,10,3,0.012592510365890142,3241760.5590820312,0.043036517298333195
211,10,10,4,0.029614274305994167,7779045.41015625,0.08439384446629865
212,10,10,5,0.009230767092613133,2333868.1030273438,0.03231024481871281
213,10,10,6,0.05803720106044077,10146604.00390625,0.11797850988555961
214,10,10,7,0.013354582903851329,3502246.3989257812,0.04441390998662145
215,10,10,8,0.01345492863280212,4350736.083984375,0.047860563157546956
216,10,10,9,0.07340289271637895,10755316.162109375,0.13142409695884782
217,10,10,10,0.018353758358355884,2787090.1489257812,0.049158238466323896
218,10,10,11,0.01778857495355601,4314204.7119140625,0.0532683106806138
219,10,10,12,0.01681349543377124,2597076.416015625,0.04862181655180843
220,10,10,13,0.013659151598183416,3646711.7309570312,0.04470368384541676
221,10,10,14,0.015412740817144117,4722895.812988281,0.048901744551528625
222,10,10,15,0.05312339103516534,9455465.087890625,0.10212978723879258
223,10,10,16,0.01591784416546582,4857239.685058594,0.04971649552650564
224,10,10,17,0.019990681485703016,6061475.830078125,0.06193481330357861
225,10,10,18,0.02713637831202738,4284874.8779296875,0.06517415132126735
226,10,10,19,0.025096350044207565,5027677.001953125,0.06329425727421664
227,10,10,20,0.020372240782384237,2731694.3359375,0.05099199699096452
228,20,2,2,0.056867545177037473,10438652.34375,0.11472126097474485
229,20,2,3,0.011972386886985643,3166937.5610351562,0.04130763927095061
230,20,2,4,0.01134889794931833,3812882.080078125,0.041675564742503224
231,20,2,5,0.015939377722229604,3390222.16796875,0.046936010961006525
232,20,2,6,0.008817162412740347,2394253.5400390625,0.03344048541046767
233,20,2,7,0.009433204404676262,2075197.9064941406,0.030836927004752403
234,20,2,8,0.04373624374753448,6298444.2138671875,0.08408841620369402
235,20,2,9,0.01216858744717291,4615812.3779296875,0.04561155440828234
236,20,2,10,0.01570446394120461,5847670.2880859375,0.05651524596052142
237,20,2,11,0.012717276995226238,4869552.001953125,0.04616323358259051
238,20,2,12,0.032421286073739605,3477854.3090820312,0.06338217494117926
239,20,2,13,0.046071542361981015,8362565.91796875,0.09637180381305392
240,20,2,14,0.017833489597455253,3734274.2919921875,0.046517681245622354
241,20,2,15,0.037774145410817986,4042409.66796875,0.06686742239557582
242,20,2,16,0.06299827970381547,8071375.1220703125,0.0926571205046202
243,20,2,17,0.013510140459674405,3359329.833984375,0.04255806706909894
244,20,2,18,0.03153697997429805,4704249.8779296875,0.05939961231383344
245,20,2,19,0.019741581394342955,4693156.1279296875,0.05361290544425315
246,20,2,20,0.04455969186840726,5466409.912109375,0.07507395161081526
247,20,5,2,0.052343741921945734,10185697.631835938,0.10734726770903734
248,20,5,3,0.03781929836897429,9567177.124023438,0.0936744966555745
249,20,5,4,0.01192080408148495,3357055.6640625,0.04162346573239929
250,20,5,5,0.013557159211364623,3093371.58203125,0.04299162974881164
251,20,5,6,0.013225639237631232,3490045.166015625,0.04380463041336928
252,20,5,7,0.011497925818925017,2391555.4809570312,0.0375879903775221
253,20,5,8,0.009509129081179827,2159638.8244628906,0.03470464893534955
254,20,5,9,0.016656145775083203,4189458.3129882812,0.05385291499051731
255,20,5,10,0.01244271232261724,3540364.6850585938,0.04653341815490673
256,20,5,11,0.021372837945875117,3533913.2690429688,0.052543430871133355
257,20,5,12,0.013475701064185969,2696725.7690429688,0.04510210745814332
258,20,5,13,0.01144110877910934,4052916.5649414062,0.04384849652222399
